id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
1819,Barasana (Brazil),Brazil,BRA,Severely endangered,340
1820,Bilakura,Papua New Guinea,PNG,Critically endangered,340
1821,Macuna (Brazil),Brazil,BRA,Vulnerable,320
1822,Jarawa,India,IND,Critically endangered,310
1823,Kowaki,Papua New Guinea,PNG,Critically endangered,310
1824,Mawak,Papua New Guinea,PNG,Critically endangered,310
1825,Alabat Island Agta,Philippines,PHL,Critically endangered,300
1826,Amahai,Indonesia,IDN,Critically endangered,300
1827,Bardi,Australia,AUS,Severely endangered,300
1828,Cahuilla,United States of America,USA,Critically endangered,300
1829,Cambap,Cameroon,CMR,Critically endangered,300
1830,Carijona,Colombia,COL,Critically endangered,300
1831,Chintaw,China,CHN,Critically endangered,300
1832,Comox/Sliammon,Canada,CAN,Critically endangered,300
1833,Djeoromitxi,Brazil,BRA,Severely endangered,300
1834,Duriankere,Indonesia,IDN,Critically endangered,300
1835,Goundo,Chad,TCD,Critically endangered,300
1836,Kwerisa,Indonesia,IDN,Critically endangered,300
1837,Mono (Eastern),United States of America,USA,Critically endangered,300
1838,Ngalkbun,Australia,AUS,Severely endangered,300
1839,Punan Batu,Malaysia,MYS,Critically endangered,300
1840,Sia Pedee,Ecuador,ECU,Critically endangered,300
1841,Valley Yokuts,United States of America,USA,Severely endangered,300
1842,Warnman,Australia,AUS,Severely endangered,300
1843,Wik Ngencherr,Australia,AUS,Severely endangered,300
1844,Wiradjuri,Australia,AUS,Critically endangered,300
1845,Malinaltepec Tlapanec,Mexico,MEX,Vulnerable,290
1846,Ahtna,United States of America,USA,Critically endangered,250
1847,Bieria,Vanuatu,VUT,Critically endangered,250
1848,Caddo,United States of America,USA,Critically endangered,250
1849,Columbian,United States of America,USA,Critically endangered,250
1850,Iquito,Peru,PER,Critically endangered,250
1851,Kwazá,Brazil,BRA,Critically endangered,250
1852,Marrithiyel,Australia,AUS,Critically endangered,250
1853,Massep,Indonesia,IDN,Critically endangered,250
1854,Mor,Indonesia,IDN,Severely endangered,250
1855,Pisamira,Colombia,COL,Critically endangered,250
1856,Sakurabiat,Brazil,BRA,Severely endangered,250
1857,Upper Kuskokwim,United States of America,USA,Critically endangered,250
1858,Zumaya,Cameroon,CMR,Critically endangered,250
1859,Kashaya,United States of America,USA,Critically endangered,240
1860,Kavalan,China,CHN,Critically endangered,240
1861,Wardaman,Australia,AUS,Severely endangered,240
1862,Washo,United States of America,USA,Severely endangered,240
1863,Kuku Yalanji,Australia,AUS,Severely endangered,230
1864,Sām,Nepal,NPL,Severely endangered,230
1865,Alawa,Australia,AUS,Critically endangered,220
1866,Tobian,Palau,PLW,Critically endangered,220
1867,Bara (Brazil),Brazil,BRA,Vulnerable,210
1868,Ixcatec,Mexico,MEX,Critically endangered,210
1869,Añu,Venezuela (Bolivarian Republic of),VEN,Critically endangered,200
1870,Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,Critically endangered,200
1871,Bom,Sierra Leone,SLE,Severely endangered,200
1872,Bundjalung,Australia,AUS,Severely endangered,200
1873,Chung (Cambodia),Cambodia,KHM,Critically endangered,200
1874,Dusner,Indonesia,IDN,Critically endangered,200
1875,Forest Enets,Russian Federation,RUS,Critically endangered,200
1876,Hermit,Papua New Guinea,PNG,Critically endangered,200
1877,Jawoyn,Australia,AUS,Severely endangered,200
1878,Kamasa,Papua New Guinea,PNG,Critically endangered,200
1879,Kanakanabu,China,CHN,Critically endangered,200
1880,Kembra,Indonesia,IDN,Critically endangered,200
1881,Kilen,China;Russian Federation,CHN;RUS,Critically endangered,200
1882,Kim,Sierra Leone,SLE,Critically endangered,200
1883,Koko Bera,Australia,AUS,Severely endangered,200
1884,Kulina Páno,Brazil,BRA,Severely endangered,200
1885,Leco,Bolivia (Plurinational State of),BOL,Critically endangered,200
1886,Loun,Indonesia,IDN,Critically endangered,200
1887,Mander,Indonesia,IDN,Critically endangered,200
1888,Mangarla,Australia,AUS,Critically endangered,200
1889,Maringarr,Australia,AUS,Critically endangered,200
1890,Nataoran,China,CHN,Critically endangered,200
1891,Nez Perce,United States of America,USA,Critically endangered,200
1892,Nisvai,Vanuatu,VUT,Critically endangered,200
1893,Nyamal,Australia,AUS,Severely endangered,200
1894,Nyikina,Australia,AUS,Severely endangered,200
1895,Panamint,United States of America,USA,Critically endangered,200
1896,Pite Saami,Norway;Sweden,NOR;SWE,Critically endangered,200
1897,Qawasqar,Chile,CHL,Critically endangered,200
1898,Red Gelao (Viet Nam),Viet Nam,VNM,Critically endangered,200
1899,Somyev,Cameroon;Nigeria,CMR;NGA,Critically endangered,200
1900,Ume Saami,Sweden,SWE,Critically endangered,200
1901,Usku,Indonesia,IDN,Critically endangered,200
1902,Vote,Russian Federation,RUS,Critically endangered,200
1903,Wajarri,Australia,AUS,Severely endangered,200
1904,Wambaya,Australia,AUS,Critically endangered,200
1905,Warekena (Brazil),Brazil,BRA,Critically endangered,200
1906,White Gelao (Viet Nam),Viet Nam,VNM,Severely endangered,200
1907,Uruak,Venezuela (Bolivarian Republic of),VEN,Critically endangered,190
1908,Pacahuara,Bolivia (Plurinational State of),BOL,Critically endangered,180
1909,Ririo,Solomon Islands,SLB,Critically endangered,180
1910,Ava-Canoeiro,Brazil,BRA,Critically endangered,160
1911,Ainu (Hokkaido),Japan,JPN,Critically endangered,150
1912,Jaminjung,Australia,AUS,Severely endangered,150
1913,Mwesen,Vanuatu,VUT,Critically endangered,150
1914,Sechelt,Canada,CAN,Critically endangered,150
1915,Tanana,United States of America,USA,Critically endangered,150
1916,Ingalik,United States of America,USA,Critically endangered,140
1917,Jingulu,Australia,AUS,Severely endangered,140
1918,Zapotec of Mixtepe,Mexico,MEX,Critically endangered,140
1919,Woria,Indonesia,IDN,Critically endangered,130
1920,Aruá,Brazil,BRA,Severely endangered,120
1921,Han (United States of America),United States of America,USA,Critically endangered,120
1922,Hupa,United States of America,USA,Critically endangered,120
1923,Karuk,United States of America,USA,Severely endangered,120
1924,Makah,United States of America,USA,Critically endangered,120
1925,Ngaliwuru,Australia,AUS,Critically endangered,120
1926,Ofayé,Brazil,BRA,Critically endangered,120
1927,Umpila,Australia,AUS,Severely endangered,120
1928,Yurok,United States of America,USA,Critically endangered,120
1929,Kinikinau,Brazil,BRA,Critically endangered,110
1930,Wagiman,Australia,AUS,Severely endangered,110
1931,Achumawi,United States of America,USA,Critically endangered,100
1932,Arho,New Caledonia (France),NCL,Critically endangered,100
1933,Arikara,United States of America,USA,Critically endangered,100
1934,Ayizi,China,CHN,Critically endangered,100
1935,Ch'orti' (Honduras),Honduras,HND,Critically endangered,100
1936,Chung (Thailand),Thailand,THA,Critically endangered,100
1937,Copper Island Aleut,Russian Federation,RUS,Critically endangered,100
1938,Gros Ventre,United States of America,USA,Critically endangered,100
1939,Gweno,United Republic of Tanzania,TZA,Critically endangered,100
1940,Hoti,Indonesia,IDN,Critically endangered,100
1941,Hulung,Indonesia,IDN,Critically endangered,100
1942,Ibu,Indonesia,IDN,Critically endangered,100
1943,Iranxe,Brazil,BRA,Critically endangered,100
1944,Kamarian,Indonesia,IDN,Critically endangered,100
1945,Karajarri,Australia,AUS,Critically endangered,100
1946,Karipuna,Brazil,BRA,Definitely endangered,100
1947,Katawixi,Brazil,BRA,Critically endangered,100
1948,Kawaiisu,United States of America,USA,Critically endangered,100
1949,Krenak,Brazil,BRA,Critically endangered,100
1950,Kurrama,Australia,AUS,Critically endangered,100
1951,Lardil,Australia,AUS,Critically endangered,100
1952,Lorediakarkar,Vanuatu,VUT,Critically endangered,100
1953,Madngele,Australia,AUS,Critically endangered,100
1954,Malak Malak,Australia,AUS,Critically endangered,100
1955,Manchu (Amur),China,CHN,Critically endangered,100
1956,Manchu (Nonni),China,CHN,Critically endangered,100
1957,Mandan,United States of America,USA,Critically endangered,100
1958,Marrisyefin,Australia,AUS,Critically endangered,100
1959,Massalat,Chad,TCD,Critically endangered,100
1960,Matipu,Brazil,BRA,Critically endangered,100
1961,Mawayana (Brazil),Brazil;Suriname,BRA;SUR,Critically endangered,100
1962,Munsee (Canada),Canada,CAN,Critically endangered,100
1963,Ngardi,Australia,AUS,Critically endangered,100
1964,Ngbinda,Democratic Republic of the Congo,ZAI,Critically endangered,100
1965,Northern Paiute (Idaho),United States of America,USA,Critically endangered,100
1966,Nusa Laut,Indonesia,IDN,Critically endangered,100
1967,Oneida (Wisconsin),United States of America,USA,Critically endangered,100
1968,Onondaga (New York),United States of America,USA,Critically endangered,100
1969,Osage,United States of America,USA,Critically endangered,100
1970,Parintintin,Brazil,BRA,Critically endangered,100
1971,Pawnee,United States of America,USA,Critically endangered,100
1972,Puari,Papua New Guinea,PNG,Critically endangered,100
1973,Rembarrnga,Australia,AUS,Critically endangered,100
1974,Sene,Papua New Guinea,PNG,Critically endangered,100
1975,Susuami,Papua New Guinea,PNG,Critically endangered,100
1976,Taap,Papua New Guinea,PNG,Critically endangered,100
1977,Ter Saami,Russian Federation,RUS,Critically endangered,100
1978,Thao,China,CHN,Critically endangered,100
1979,Tule-Kaweah Yokuts,United States of America,USA,Critically endangered,100
1980,Tundra Enets,Russian Federation,RUS,Critically endangered,100
1981,Wichita,United States of America,USA,Critically endangered,100
1982,Xambioá,Brazil,BRA,Critically endangered,100
1983,Yawalapiti,Brazil,BRA,Critically endangered,100
1984,Yiiji,Australia,AUS,Critically endangered,100
1985,Arára Shawãdáwa,Brazil,BRA,Critically endangered,90
1986,Kuuku Ya'u,Australia,AUS,Critically endangered,90
1987,Ngandi,Australia,AUS,Critically endangered,90
1988,Ngarluma,Australia,AUS,Critically endangered,90
1989,Zaparo,Ecuador;Peru,ECU;PER,Critically endangered,90
1990,Ongota,Ethiopia,ETH,Critically endangered,80
1991,Ajuru,Brazil,BRA,Severely endangered,80
1992,Araki,Vanuatu,VUT,Critically endangered,80
1993,Busuu,Cameroon,CMR,Critically endangered,80
1994,Chamicuro,Peru,PER,Critically endangered,80
1995,Dumi,Nepal,NPL,Critically endangered,80
1996,Kayardild,Australia,AUS,Critically endangered,80
1997,Munichi,Peru,PER,Critically endangered,80
1998,N|uu,South Africa,ZAF,Critically endangered,80
1999,Xetá,Brazil,BRA,Critically endangered,80
2000,Kiksht,United States of America,USA,Critically endangered,70
2001,Makolkol,Papua New Guinea,PNG,Critically endangered,70
2002,Anambé,Brazil,BRA,Critically endangered,60
2003,Arabana,Australia,AUS,Critically endangered,60
2004,Ipai,United States of America,USA,Critically endangered,60
2005,Karaim (Western Ukraine),Ukraine,UKR,Critically endangered,60
2006,Kings River Yokuts,United States of America,USA,Critically endangered,60
2007,Korana,South Africa,ZAF,Critically endangered,60
2008,Mangarrayi,Australia,AUS,Critically endangered,60
2009,Northern Sierra Miwok,United States of America,USA,Critically endangered,60
2010,Abaga,Papua New Guinea,PNG,Critically endangered,50
2011,Aleut (Western;Commander Islands),Russian Federation,RUS,Critically endangered,50
2012,Aqaw Gelao,China,CHN,Critically endangered,50
2013,Central Selkup,Russian Federation,RUS,Critically endangered,50
2014,Cocama-Cocamilla (Brazil),Brazil,BRA,Critically endangered,50
2015,Dyirbal,Australia,AUS,Critically endangered,50
2016,Gamilaraay,Australia,AUS,Critically endangered,50
2017,Great andamanese,India,IND,Critically endangered,50
2018,Guató,Brazil,BRA,Critically endangered,50
2019,Holikachuk,United States of America,USA,Critically endangered,50
2020,Isarog Agta,Philippines,PHL,Critically endangered,50
2021,Itonama,Bolivia (Plurinational State of),BOL,Critically endangered,50
2022,Juma,Brazil,BRA,Critically endangered,50
2023,Kalispel,United States of America,USA,Critically endangered,50
2024,Kanoê,Brazil,BRA,Critically endangered,50
2025,Liki,Indonesia,IDN,Critically endangered,50
2026,Luiseño,United States of America,USA,Critically endangered,50
2027,Lushootseed,United States of America,USA,Critically endangered,50
2028,Mansim,Indonesia,IDN,Critically endangered,50
2029,Naman,Vanuatu,VUT,Critically endangered,50
2030,Nasarian,Vanuatu,VUT,Critically endangered,50
2031,Ndai,Cameroon,CMR,Critically endangered,50
2032,Ngalakan,Australia,AUS,Critically endangered,50
2033,Oro Win,Brazil,BRA,Critically endangered,50
2034,Resígaro,Peru,PER,Critically endangered,50
2035,Southern Selkup,Russian Federation,RUS,Critically endangered,50
2036,Vano,Solomon Islands,SLB,Critically endangered,50
2037,Wunambal,Australia,AUS,Critically endangered,50
2038,Yuchi,United States of America,USA,Critically endangered,50
2039,Bonerif,Indonesia,IDN,Critically endangered,40
2040,Coeur d'Alene,United States of America,USA,Critically endangered,40
2041,Dharawal,Australia,AUS,Critically endangered,40
2042,Lengilu,Indonesia,IDN,Critically endangered,40
2043,Ouma,Papua New Guinea,PNG,Critically endangered,40
2044,Paakantyi,Australia,AUS,Critically endangered,40
2045,Saponi,Indonesia,IDN,Critically endangered,40
2046,Tanema,Solomon Islands,SLB,Critically endangered,40
2047,Tehuelche,Argentina,ARG,Critically endangered,40
2048,Totoró,Colombia,COL,Critically endangered,40
2049,Waanyi,Australia,AUS,Critically endangered,40
2050,Worrorra,Australia,AUS,Critically endangered,40
2051,Baldemu,Cameroon,CMR,Critically endangered,30
2052,Bung,Cameroon,CMR,Critically endangered,30
2053,Canichana,Bolivia (Plurinational State of),BOL,Extinct,30
2054,Central Pomo,United States of America,USA,Critically endangered,30
2055,Central Sierra Miwok,United States of America,USA,Critically endangered,30
2056,Chemehuevi,United States of America,USA,Critically endangered,30
2057,Kiowa Apache,United States of America,USA,Critically endangered,30
2058,Konkow,United States of America,USA,Critically endangered,30
2059,Lake Miwok,United States of America,USA,Critically endangered,30
2060,Mabiri,Chad,TCD,Critically endangered,30
2061,Mescalero-Chiricahua Apache (Oklahoma),United States of America,USA,Critically endangered,30
2062,Northern Pomo,United States of America,USA,Critically endangered,30
2063,Sabanê,Brazil,BRA,Critically endangered,30
2064,Southern Pomo,United States of America,USA,Critically endangered,30
2065,Southern Sierra Miwok,United States of America,USA,Critically endangered,30
2066,Tubatulabal,United States of America,USA,Critically endangered,30
2067,Tuscarora (United States of America),United States of America,USA,Critically endangered,30
2068,Andoa (Peru),Peru,PER,Critically endangered,20
2069,Arikapu,Brazil,BRA,Critically endangered,20
2070,Aurê-Aurá,Brazil,BRA,Critically endangered,20
2071,Baré (Brazil),Brazil,BRA,Critically endangered,20
2072,Cayuvava,Bolivia (Plurinational State of),BOL,Critically endangered,20
2073,Gajerrong,Australia,AUS,Critically endangered,20
2074,Ganggalidda,Australia,AUS,Critically endangered,20
2075,Klallam,United States of America,USA,Critically endangered,20
2076,Kunjen,Australia,AUS,Critically endangered,20
2077,Kuruáya,Brazil,BRA,Critically endangered,20
2078,Lemerig,Vanuatu,VUT,Critically endangered,20
2079,Luri,Nigeria,NGA,Critically endangered,20
2080,Maidu,United States of America,USA,Critically endangered,20
2081,Oneida (New York),United States of America,USA,Critically endangered,20
2082,Poyanawa,Brazil,BRA,Critically endangered,20
2083,Puruborá,Brazil,BRA,Critically endangered,20
2084,Salamãy,Brazil,BRA,Critically endangered,20
2085,Spokane,United States of America,USA,Critically endangered,20
2086,Tharkarri,Australia,AUS,Critically endangered,20
2087,Vacacocha,Peru,PER,Critically endangered,20
2088,Wangaaybuwan,Australia,AUS,Critically endangered,20
2089,Xipáya,Brazil,BRA,Critically endangered,20
2090,Apiaká,Brazil,BRA,Critically endangered,10
2091,Bikya,Cameroon,CMR,Critically endangered,10
2092,Bishuo,Cameroon,CMR,Critically endangered,10
2093,Diahói,Brazil,BRA,Critically endangered,10
2094,Laua,Papua New Guinea,PNG,Critically endangered,10
2095,Patwin,United States of America,USA,Critically endangered,10
2096,Pazeh,China,CHN,Critically endangered,10
2097,Pémono,Venezuela (Bolivarian Republic of),VEN,Critically endangered,10
2098,Taushiro,Peru,PER,Critically endangered,10
2099,Tinigua,Colombia,COL,Critically endangered,10
2100,Tolowa,United States of America,USA,Critically endangered,10
2101,Uru,Bolivia (Plurinational State of),BOL,Extinct,10
2102,Volow,Vanuatu,VUT,Critically endangered,10
2103,Wintu-Nomlaki,United States of America,USA,Critically endangered,10
2104,Yahgan,Chile,CHL,Critically endangered,10
2105,Yarawi,Papua New Guinea,PNG,Critically endangered,10
2106,!Gan!ne,South Africa,ZAF,Extinct,0
2107,Aasax,United Republic of Tanzania,TZA,Extinct,0
2108,Ahom,India,IND,Extinct,0
2109,Ainu (Kuril),Russian Federation,RUS,Extinct,0
2110,Ainu (Sakhalin),Russian Federation,RUS,Extinct,0
2111,Akkala Saami,Russian Federation,RUS,Extinct,0
2112,Amanayé,Brazil,BRA,Extinct,0
2113,Andoa (Ecuador),Ecuador,ECU,Extinct,0
2114,Antoniano,United States of America,USA,Extinct,0
2115,Aore,Vanuatu,VUT,Extinct,0
2116,Arapaho (Oklahoma),United States of America,USA,Extinct,0
2117,Arapáso,Brazil,BRA,Extinct,0
2118,Aribwatsa,Papua New Guinea,PNG,Extinct,0
2119,Arman,Russian Federation,RUS,Extinct,0
2120,Arta,Philippines,PHL,Extinct,0
2121,Atacameño,Argentina;Bolivia (Plurinational State of);Chile,ARG;BOL;CHL,Extinct,0
2122,Atsugewi,United States of America,USA,Extinct,0
2123,Babuza,China,CHN,Extinct,0
2124,Baga Mboteni,Guinea,GIN,Critically endangered,0
2125,Barbareño,United States of America,USA,Extinct,0
2126,Barzani Jewish Neo-Aramaic (Iraq),Iraq,IRQ,Extinct,0
2127,Basay,China,CHN,Extinct,0
2128,Baygo,Sudan,SDN,Extinct,0
2129,Berakou,Chad,TCD,Extinct,0
2130,Berti,Sudan,SDN,Extinct,0
2131,Bina,Papua New Guinea,PNG,Extinct,0
2132,Birgid,Sudan,SDN,Extinct,0
2133,Cacaopera,Nicaragua,NIC,Extinct,0
2134,Cape Khoekhoe,South Africa,ZAF,Extinct,0
2135,Cappadocian Greek (Turkey),Turkey,TUR,Extinct,0
2136,Catawba,United States of America,USA,Extinct,0
2137,Cayuga (Oklahoma),United States of America,USA,Extinct,0
2138,Cayuse,United States of America,USA,Extinct,0
2139,Central Kalapuyan,United States of America,USA,Extinct,0
2140,Cholon,Peru,PER,Extinct,0
2141,Coptic,Egypt,EGY,Extinct,0
2142,Cowlitz,United States of America,USA,Extinct,0
2143,Cupeño,United States of America,USA,Extinct,0
2144,Dalmatian,Croatia,HRV,Extinct,0
2145,Deti,Botswana,BWA,Extinct,0
2146,Dharug,Australia,AUS,Critically endangered,0
2147,Dhurga,Australia,AUS,Critically endangered,0
2148,Dicamay Agta,Philippines,PHL,Extinct,0
2149,Dororo,Solomon Islands,SLB,Extinct,0
2150,Duli,Cameroon,CMR,Extinct,0
2151,Dura,Nepal,NPL,Extinct,0
2152,Eastern Abenaki,United States of America,USA,Extinct,0
2153,Eastern Pomo,United States of America,USA,Extinct,0
2154,Eel River Athabaskan,United States of America,USA,Extinct,0
2155,Eliri,Sudan,SDN,Severely endangered,0
2156,Elmolo,Kenya,KEN,Extinct,0
2157,Eotile,Côte d'Ivoire,CIV,Extinct,0
2158,Eyak,United States of America,USA,Extinct,0
2159,Gaagudju,Australia,AUS,Extinct,0
2160,Gafat,Ethiopia,ETH,Extinct,0
2161,Garífuna (Nicaragua),Nicaragua,NIC,Critically endangered,0
2162,Ge'ez,Ethiopia,ETH,Extinct,0
2163,Getmata,Papua New Guinea,PNG,Extinct,0
2164,Gey,Cameroon,CMR,Extinct,0
2165,Gule,Sudan,SDN,Extinct,0
2166,Guliguli,Solomon Islands,SLB,Extinct,0
2167,Gününa Küne,Argentina,ARG,Extinct,0
2168,Hanis,United States of America,USA,Extinct,0
2169,Hoanya,China,CHN,Extinct,0
2170,Homa,Sudan,SDN,Extinct,0
2171,Horo,Chad,TCD,Extinct,0
2172,Hpun,Myanmar,MMR,Extinct,0
2173,Huitoto (Brazil),Brazil,BRA,Extinct,0
2174,Hukumina,Indonesia,IDN,Extinct,0
2175,Huron-Wyandot (United States of America),United States of America,USA,Extinct,0
2176,Ifo,Vanuatu,VUT,Extinct,0
2177,Ineseño,United States of America,USA,Extinct,0
2178,Island Carib,Dominica,DMA,Extinct,0
2179,Island Chumash,United States of America,USA,Extinct,0
2180,Jorá,Bolivia (Plurinational State of),BOL,Critically endangered,0
2181,Judeo-Berber (Morocco),Morocco,MAR,Extinct,0
2182,Kamas,Russian Federation,RUS,Extinct,0
2183,Kamas Turk,Russian Federation,RUS,Extinct,0
2184,Kaniet,Papua New Guinea,PNG,Extinct,0
2185,Kansa,United States of America,USA,Extinct,0
2186,Karaim (Crimea),Ukraine,UKR,Extinct,0
2187,Karami,Papua New Guinea,PNG,Extinct,0
2188,Karelian (Valday),Russian Federation,RUS,Extinct,0
2189,Katabaga,Philippines,PHL,Extinct,0
2190,Kato,United States of America,USA,Extinct,0
2191,Kayeli,Indonesia,IDN,Extinct,0
2192,Kazukuru,Solomon Islands,SLB,Extinct,0
2193,Kerek,Russian Federation,RUS,Extinct,0
2194,Ketangalan,China,CHN,Extinct,0
2195,Klamath-Modoc,United States of America,USA,Extinct,0
2196,Konomihu,United States of America,USA,Extinct,0
2197,Krenjê,Brazil,BRA,Extinct,0
2198,Kulun,China,CHN,Extinct,0
2199,Kurtjar,Australia,AUS,Extinct,0
2200,Kw'adza,United Republic of Tanzania,TZA,Extinct,0
2201,Kwadi,Angola,ANG,Extinct,0
2202,Laghu,Solomon Islands,SLB,Extinct,0
2203,Lenca,El Salvador;Honduras,SLV;HND,Extinct,0
2204,Li-Ngbee,Democratic Republic of the Congo,ZAI,Extinct,0
2205,Liliali,Indonesia,IDN,Extinct,0
2206,Lipan,United States of America,USA,Extinct,0
2207,Lishan Didan (Iran),Iran (Islamic Republic of),IRN,Extinct,0
2208,Lishana Deni (Iraq),Iraq,IRQ,Extinct,0
2209,Lishanid Noshan (Iraq),Iraq,IRQ,Extinct,0
2210,Lower Chehalis,United States of America,USA,Extinct,0
2211,Mapia,Indonesia,IDN,Extinct,0
2212,Maragus,Vanuatu,VUT,Extinct,0
2213,Marrgu,Australia,AUS,Extinct,0
2214,Matagalpa,Nicaragua,NIC,Extinct,0
2215,Mattole,United States of America,USA,Extinct,0
2216,Miami-Illinois,United States of America,USA,Extinct,0
2217,Migueleño,United States of America,USA,Extinct,0
2218,Miraña (Brazil),Brazil,BRA,Critically endangered,0
2219,Mirití Tapuia,Brazil,BRA,Critically endangered,0
2220,Mlahso (Syria),Syrian Arab Republic,SYR,Extinct,0
2221,Mlahso (Turkey),Turkey,TUR,Extinct,0
2222,Moksela,Indonesia,IDN,Extinct,0
2223,Molala,United States of America,USA,Extinct,0
2224,Mulaha,Papua New Guinea,PNG,Extinct,0
2225,Múra,Brazil,BRA,Extinct,0
2226,Nagumi,Cameroon,CMR,Extinct,0
2227,Naka'ela,Indonesia,IDN,Extinct,0
2228,Natchez,United States of America,USA,Extinct,0
2229,New River Shasta,United States of America,USA,Extinct,0
2230,Ngarla,Australia,AUS,Extinct,0
2231,Ngong,Cameroon,CMR,Extinct,0
2232,Nila (Nila Island),Indonesia,IDN,Extinct,0
2233,Nisenan,United States of America,USA,Extinct,0
2234,Nooksack,United States of America,USA,Extinct,0
2235,Northeastern Pomo,United States of America,USA,Extinct,0
2236,Nukiní,Brazil,BRA,Extinct,0
2237,Nupbikha,Bhutan,BTN,Vulnerable,0
2238,Nyang'i,Uganda,UGA,Extinct,0
2239,Obispeño,United States of America,USA,Extinct,0
2240,Odut,Nigeria,NGA,Extinct,0
2241,Old Sirenik,Russian Federation,RUS,Extinct,0
2242,Omagua (Brazil),Brazil,BRA,Critically endangered,0
2243,Ona,Argentina,ARG,Extinct,0
2244,Ongkor Solon,China,CHN,Extinct,0
2245,Orang Kanaq,Malaysia,MYS,Extinct,0
2246,Palumata,Indonesia,IDN,Extinct,0
2247,Panobo,Peru,PER,Extinct,0
2248,Papora,China,CHN,Extinct,0
2249,Pentlatch,Canada,CAN,Extinct,0
2250,Pijao,Colombia,COL,Extinct,0
2251,Piru,Indonesia,IDN,Extinct,0
2252,Purisimeño,United States of America,USA,Extinct,0
2253,Quapaw,United States of America,USA,Extinct,0
2254,Quileute,United States of America,USA,Extinct,0
2255,Rangkas,India,IND,Extinct,0
2256,Sanhaja of Srair,Morocco,MAR,Critically endangered,0
2257,Sened,Tunisia,TUN,Extinct,0
2258,Serrano,United States of America,USA,Extinct,0
2259,Seru,Malaysia,MYS,Extinct,0
2260,Seward Peninsula Inupiaq (Big Diomede Island),Russian Federation,RUS,Extinct,0
2261,Singa,Uganda,UGA,Extinct,0
2262,Siraiya,China,CHN,Extinct,0
2263,Sishee,New Caledonia (France),NCL,Extinct,0
2264,Siuslaw,United States of America,USA,Extinct,0
2265,Slovincian,Poland,POL,Extinct,0
2266,Southeastern Pomo,United States of America,USA,Extinct,0
2267,Southern Khanty,Russian Federation,RUS,Extinct,0
2268,Southern Mansi,Russian Federation,RUS,Extinct,0
2269,Subtiaba,Nicaragua,NIC,Extinct,0
2270,Taman,Myanmar,MMR,Extinct,0
2271,Tandia,Indonesia,IDN,Extinct,0
2272,Taokas,China,CHN,Extinct,0
2273,Te'un (Te'un Island),Indonesia,IDN,Extinct,0
2274,Tetete,Ecuador,ECU,Extinct,0
2275,Tillamook,United States of America,USA,Extinct,0
2276,Togoyo,Sudan,SDN,Extinct,0
2277,Tonjon,Côte d'Ivoire,CIV,Extinct,0
2278,Torá,Brazil,BRA,Extinct,0
2279,Tsetsaut,Canada,CAN,Extinct,0
2280,Tunica,United States of America,USA,Extinct,0
2281,Tututni,United States of America,USA,Extinct,0
2282,Twana,United States of America,USA,Extinct,0
2283,Ubykh (Caucasus),Russian Federation,RUS,Extinct,0
2284,Ubykh (Turkey),Turkey,TUR,Extinct,0
2285,Umutina,Brazil,BRA,Extinct,0
2286,Upper Chehalis,United States of America,USA,Extinct,0
2287,Uruava,Papua New Guinea,PNG,Extinct,0
2288,Ventureño,United States of America,USA,Extinct,0
2289,Vilela,Argentina,ARG,Extinct,0
2290,Wanai,Venezuela (Bolivarian Republic of),VEN,Critically endangered,0
2291,Wangkumara,Australia,AUS,Critically endangered,0
2292,Wappo,United States of America,USA,Extinct,0
2293,Western Mansi,Russian Federation,RUS,Extinct,0
2294,Wiyot,United States of America,USA,Extinct,0
2295,Xakriabá,Brazil,BRA,Extinct,0
2296,Yaaku,Kenya,KEN,Extinct,0
2297,Yameo,Peru,PER,Extinct,0
2298,Yir Yoront,Australia,AUS,Extinct,0
2299,Yoba,Papua New Guinea,PNG,Extinct,0
2300,Yug,Russian Federation,RUS,Extinct,0
2301,Yuki,United States of America,USA,Extinct,0
2302,Yurutí (Brazil),Brazil,BRA,Extinct,0
2303,Zeem,Nigeria,NGA,Extinct,0
2304,|'Auni,South Africa,ZAF,Extinct,0
2305,|Xam,South Africa,ZAF,Extinct,0
2306,ǁKu ǁ'e,South Africa,ZAF,Extinct,0
2307,ǁXegwi,South Africa,ZAF,Extinct,0
